city,hotel_name,price,currency,num_adults,num_children,num_nights,rating,reviews_count,location,distance_from_center,star_rating,property_type,room_type,free_cancellation,meal_plan,amenities,hotel_url,scraped_date
Cairo,Regant pyramids hotel,715,EGP,2,0,1,10,1,"Giza, Cairo",11.3 km from downtown,4,Hotel,Double Room,Yes,Breakfast included,"Hot tub/Jacuzzi, Spa, Bar",https://www.booking.com/hotel/eg/regant-pyramids.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=1632825001_433769000_2_1_0&highlighted_blocks=1632825001_433769000_2_1_0&matching_block_id=1632825001_433769000_2_1_0&sr_pri_blocks=1632825001_433769000_2_1_0__1357&from=searchresults,5/9/2026
Cairo,Sky-lounge,3606,EGP,2,0,1,,,"Maadi, Cairo",10.2 km from downtown,,Apartment,Three-Bedroom Apartment,No,,Free parking,https://www.booking.com/hotel/eg/sky-lounge.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=1422320301_413852787_2_0_0&highlighted_blocks=1422320301_413852787_2_0_0&matching_block_id=1422320301_413852787_2_0_0&sr_pri_blocks=1422320301_413852787_2_0_0__6840&from=searchresults,5/9/2026
Cairo,Hilton Cairo Grand Nile,5377,EGP,2,0,1,8,12311,Cairo,1.4 km from downtown,5,Hotel,Twin Guest room with Nile View,Yes,,"Hot tub/Jacuzzi, Spa",https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__10200&from_sustainable_property_sr=1&from=searchresults,5/9/2026
Cairo,Agor-Cairo Hotel Downtown,7908,EGP,2,0,1,10,7,Cairo,0.8 km from downtown,4,Hotel,Deluxe Double or Twin Room with City View,Yes,Breakfast included,"Hot tub/Jacuzzi, Spa, Bar",https://www.booking.com/hotel/eg/agor-cairo-downtown.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=1627777801_433411901_2_1_0&highlighted_blocks=1627777801_433411901_2_1_0&matching_block_id=1627777801_433411901_2_1_0&sr_pri_blocks=1627777801_433411901_2_1_0__15000&from=searchresults,5/9/2026
Cairo,gold cairo downtown,5272,EGP,2,0,1,,,Cairo,100 m from downtown,4,Hotel,Double Room,Yes,Breakfast included,"Hot tub/Jacuzzi, Spa, Bar",https://www.booking.com/hotel/eg/gold-cairo-downtown-bdyn.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=1627836801_433416429_2_1_0&highlighted_blocks=1627836801_433416429_2_1_0&matching_block_id=1627836801_433416429_2_1_0&sr_pri_blocks=1627836801_433416429_2_1_0__10000&from=searchresults,5/9/2026
Cairo,cairoooo houb,2900,EGP,2,0,1,,,Cairo,200 m from downtown,4,Hotel,Deluxe Twin Room,Yes,Breakfast included,"Hot tub/Jacuzzi, Free parking, Spa",https://www.booking.com/hotel/eg/cairoooo-houb.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=1624720301_433196695_2_1_0&highlighted_blocks=1624720301_433196695_2_1_0&matching_block_id=1624720301_433196695_2_1_0&sr_pri_blocks=1624720301_433196695_2_1_0__5500&from=searchresults,5/9/2026
Cairo,Ramses Hilton Hotel & Casino,5333,EGP,2,0,1,8.5,5243,Cairo,0.7 km from downtown,5,Hotel,King Room with City View,Yes,,"Heated pool, Bar",https://www.booking.com/hotel/eg/ramses-hilton.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=4786409_274559468_2_42_0&highlighted_blocks=4786409_274559468_2_42_0&matching_block_id=4786409_274559468_2_42_0&sr_pri_blocks=4786409_274559468_2_42_0__10115&from_sustainable_property_sr=1&from=searchresults,5/9/2026
Cairo,Novotel Cairo Airport,4059,EGP,2,0,1,7.6,3572,"Heliopolis, Cairo",18.2 km from downtown,4,Hotel,Superior Twin Room,No,,"Hot tub/Jacuzzi, Airport shuttle (free)",https://www.booking.com/hotel/eg/novotel-cairo-airport.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343197&all_sr_blocks=1609509_95140744_2_42_0&highlighted_blocks=1609509_95140744_2_42_0&matching_block_id=1609509_95140744_2_42_0&sr_pri_blocks=1609509_95140744_2_42_0__7700&from_sustainable_property_sr=1&from=searchresults,5/9/2026
Cairo,Le Passage Cairo Hotel & Casino,4705,EGP,2,0,1,8.5,3755,"Heliopolis, Cairo",18.1 km from downtown,5,Hotel,Standard Double or Twin Room with Garden View,Yes,,"Airport shuttle (free), Bar, Restaurant",https://www.booking.com/hotel/eg/le-passage-cairo-hotel.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=17143701_398602674_2_42_0&highlighted_blocks=17143701_398602674_2_42_0&matching_block_id=17143701_398602674_2_42_0&sr_pri_blocks=17143701_398602674_2_42_0__8925&from=searchresults,5/9/2026
Cairo,Holiday Inn Citystars by IHG,4705,EGP,2,0,1,7.6,1757,"Nasr City, Cairo",10.9 km from downtown,5,Inn,Standard Twin Room - Smoking,Yes,,"Restaurant, 24-hour front desk",https://www.booking.com/hotel/eg/holiday-inn.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=2971015_277285106_2_2_0&highlighted_blocks=2971015_277285106_2_2_0&matching_block_id=2971015_277285106_2_2_0&sr_pri_blocks=2971015_277285106_2_2_0__8925&from=searchresults,5/9/2026
